,id,from,at,to,open,close,min,max,volume
0,4159091,2025-10-15 04:52:00,2025-10-15 04:53:00,2025-10-15 04:53:00,1.130645,1.130415,1.129695,1.130825,0
1,4159092,2025-10-15 04:53:00,2025-10-15 04:54:00,2025-10-15 04:54:00,1.130415,1.130985,1.129935,1.131025,0
2,4159093,2025-10-15 04:54:00,2025-10-15 04:55:00,2025-10-15 04:55:00,1.130955,1.129715,1.129715,1.131075,0
3,4159094,2025-10-15 04:55:00,2025-10-15 04:56:00,2025-10-15 04:56:00,1.129665,1.131275,1.129555,1.131685,0
4,4159095,2025-10-15 04:56:00,2025-10-15 04:57:00,2025-10-15 04:57:00,1.131285,1.132575,1.130985,1.132615,0
5,4159096,2025-10-15 04:57:00,2025-10-15 04:58:00,2025-10-15 04:58:00,1.132585,1.132395,1.132325,1.133295,0
6,4159097,2025-10-15 04:58:00,2025-10-15 04:59:00,2025-10-15 04:59:00,1.132295,1.132205,1.131925,1.132725,0
7,4159098,2025-10-15 04:59:00,2025-10-15 05:00:00,2025-10-15 05:00:00,1.132135,1.130795,1.130705,1.132295,0
8,4159099,2025-10-15 05:00:00,2025-10-15 05:01:00,2025-10-15 05:01:00,1.130795,1.130985,1.130385,1.130985,0
9,4159100,2025-10-15 05:01:00,2025-10-15 05:02:00,2025-10-15 05:02:00,1.130985,1.129225,1.129225,1.130985,0
10,4159101,2025-10-15 05:02:00,2025-10-15 05:03:00,2025-10-15 05:03:00,1.129155,1.129865,1.128975,1.130105,0
11,4159102,2025-10-15 05:03:00,2025-10-15 05:04:00,2025-10-15 05:04:00,1.129795,1.128995,1.128885,1.130045,0
12,4159103,2025-10-15 05:04:00,2025-10-15 05:05:00,2025-10-15 05:05:00,1.129005,1.129045,1.128845,1.129785,0
13,4159104,2025-10-15 05:05:00,2025-10-15 05:06:00,2025-10-15 05:06:00,1.128945,1.127665,1.127515,1.129025,0
14,4159105,2025-10-15 05:06:00,2025-10-15 05:07:00,2025-10-15 05:07:00,1.127725,1.127755,1.127615,1.128345,0
15,4159106,2025-10-15 05:07:00,2025-10-15 05:08:00,2025-10-15 05:08:00,1.127845,1.127905,1.127665,1.128755,0
16,4159107,2025-10-15 05:08:00,2025-10-15 05:09:00,2025-10-15 05:09:00,1.127845,1.126655,1.126335,1.128035,0
17,4159108,2025-10-15 05:09:00,2025-10-15 05:10:00,2025-10-15 05:10:00,1.126725,1.126645,1.126005,1.126795,0
18,4159109,2025-10-15 05:10:00,2025-10-15 05:11:00,2025-10-15 05:11:00,1.126665,1.126025,1.125095,1.126665,0
19,4159110,2025-10-15 05:11:00,2025-10-15 05:12:00,2025-10-15 05:12:00,1.126135,1.126335,1.125865,1.127105,0
20,4159111,2025-10-15 05:12:00,2025-10-15 05:13:00,2025-10-15 05:13:00,1.126345,1.126155,1.125965,1.126705,0
21,4159112,2025-10-15 05:13:00,2025-10-15 05:14:00,2025-10-15 05:14:00,1.126035,1.125525,1.124695,1.126145,0
22,4159113,2025-10-15 05:14:00,2025-10-15 05:15:00,2025-10-15 05:15:00,1.125605,1.125205,1.125125,1.126145,0
23,4159114,2025-10-15 05:15:00,2025-10-15 05:16:00,2025-10-15 05:16:00,1.125315,1.125575,1.124885,1.125665,0
24,4159115,2025-10-15 05:16:00,2025-10-15 05:17:00,2025-10-15 05:17:00,1.125575,1.125385,1.125165,1.125685,0
25,4159116,2025-10-15 05:17:00,2025-10-15 05:18:00,2025-10-15 05:18:00,1.125465,1.125735,1.124835,1.125765,0
