,Receita Líquida,Lucro Líquido (LL),Margem Líquida,Ebitda,Margem Ebitda,Ativo Total,Dívida Bruta,Dívida Líquida,Patrimônio Líquido (PL),Índice de preço sobre lucro (P/L),Retorno sobre o PL (ROE),Retorno sobre o Capital (ROIC),Code action
0,"R$ 209,59 B","R$ 27,87 B",13.29%,"R$ 63,8 B",30.44%,"R$ 493,22 B","R$ 97,38 B","R$ 66,29 B","R$ 220,96 B","8,28",+12.61%,+9.61%,VALE3
1,"R$ 493,12 B","R$ 77,81 B",15.78%,"R$ 208,35 B",42.25%,"R$ 1174,89 B","R$ 371,43 B","R$ 319,58 B","R$ 401,78 B","5,06",+19.36%,+11.47%,PETR4
2,"R$ 278,57 B","R$ 24,66 B",8.85%,"R$ 16,68 B",5.99%,"R$ 2427,05 B",,"R$ -71,51 B","R$ 187,01 B","4,46",+13.19%,+4.01%,BBAS3
3,"R$ 40,22 B","R$ 11,16 B",27.75%,"R$ 20,01 B",49.76%,"R$ 88,71 B","R$ 31,28 B","R$ 23,35 B","R$ 40,44 B","7,33",+27.6%,+16.35%,SBSP3
4,"R$ 10,78 B","R$ 4,81 B",44.66%,"R$ 6,75 B",62.61%,"R$ 47,03 B","R$ 14,53 B","R$ -83,34 M","R$ 19,75 B","13,70",+24.38%,+12.22%,B3SA3
5,"R$ 39,8 B","R$ 2,09 B",5.25%,"R$ 5,91 B",14.86%,"R$ 65,88 B","R$ 12,03 B","R$ 5,17 B","R$ 19,68 B","27,75",+10.63%,+9.31%,EMBR3
6,"R$ 47,17 B","R$ 3,89 B",8.25%,"R$ 10,86 B",23.02%,"R$ 115,72 B","R$ 54,43 B","R$ 43,93 B","R$ 30,73 B","11,47",+12.67%,+6.64%,EQTL3
7,"R$ 39,57 B","R$ 2,32 B",5.87%,"R$ 13,26 B",33.51%,"R$ 81,31 B","R$ 41,56 B","R$ 33,32 B","R$ 25,49 B","15,80",+9.11%,+8.02%,RENT3
8,"R$ 29,06 B","R$ -522,67 M",-1.79%,"R$ 1,81 B",6.24%,"R$ 74,22 B","R$ 13,14 B","R$ 3,66 B","R$ 48,86 B","-33,03",-1.06%,+0.97%,HAPV3
9,"R$ 23,87 B","R$ 3,03 B",12.69%,"R$ 5,86 B",24.55%,"R$ 60,74 B","R$ 19,88 B","R$ 16,98 B","R$ 25,55 B","11,87",+11.85%,+6.39%,CPLE6
10,,"R$ 8,91 B",,"R$ 4,56 B",,"R$ 21,37 B",,"R$ -8,67 B","R$ 10,49 B","7,62",+84.97%,+28.67%,BBSE3
11,"R$ 43,68 B","R$ 6,62 B",15.17%,"R$ 21,29 B",48.75%,"R$ 274,96 B","R$ 70,28 B","R$ 40,45 B","R$ 118,75 B","15,26",+5.58%,+5.94%,ELET3
12,"R$ 180,96 B","R$ 5,6 B",3.09%,"R$ 9,21 B",5.09%,"R$ 59,65 B","R$ 25,41 B","R$ 21,06 B","R$ 21,01 B","4,21",+26.66%,+11.99%,VBBR3
13,"R$ 15,43 B","R$ 1,36 B",8.86%,"R$ 2,93 B",19.02%,"R$ 18,73 B","R$ 590,59 M","R$ -1,2 B","R$ 10,3 B","11,77",+13.28%,+10.05%,LREN3
14,"R$ 493,12 B","R$ 77,81 B",15.78%,"R$ 208,35 B",42.25%,"R$ 1174,89 B","R$ 371,43 B","R$ 319,58 B","R$ 401,78 B","5,46",+19.36%,+11.47%,PETR3
